Solicitação	Tipo Solicitação	Problema	Número OS BB	Bem	Item	Situação Equip.	Ag. SAG	Nome Local	LAT	Descrição Item	Número de Série	Cliente	Conta	Status	Data Abertura	Data Fechamento	Criticidade	SEMAT	Contrato	Data Resolução	Grupo	UF	
9523867	Manutenção Corretiva	defeito: p3 z10 passa milheiro ocasionando acionamento da PGM_2  funcionário: Giovany Sobreira F5529219  E-mail: psv9705@bb.com.br  telefone: (87) 3871-0668		9705000206001	GRPE-900022	Contratado	9705.00	SERET SALGUEIRO		T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Aberto	01/03/2023 10:10:31		S1		00206/2019	02/03/2023 10:10:31	REC	PE	
9523779	Manutenção Corretiva	TAA COM TELA ESCURA,MATRIZ.N	20235898000009	7417202020237	EQPT-086206	Contratado	5898.91	SAA-HELIOPOLIS	TR-GARANHUNS	T-10 TERMINAL RECICLADOR TAART DIEBOLD V19		BANCO DO BRASIL S.A	00000000	Aberto	01/03/2023 09:26:35		14		00119/2021	01/03/2023 09:30:00	REC	PE	
9523760	Manutenção Corretiva	TERMINAL VEM APRESENTANDO FALHAS NO SISTEMA DE ENTINTAMENTO,     DE FORMA CONTUMAZ.N	20230710000011	7419151141232	EQPT-069963	Contratado	0710.91	SAA-BARREIROS	TR-RIBEIRAO	T-10 TAA TAAMC FULL TRASEIRO PERTO TMD-2100V13 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	01/03/2023 09:29:14		14		00119/2021	01/03/2023 09:30:00	REC	PE	
9523723	Manutenção Corretiva	SUBSTIUI¸AO DA GAVETA "B". PUXADOR QUEBRADO.N	20234844000607	7417183020687	EQPT-083401	Contratado	4844.06	SOP IPUTINGA	CAT-RECIFE	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	01/03/2023 09:22:34		13		00119/2021	01/03/2023 09:30:00	REC	PE	
9523669	Manutenção Corretiva	CASSETE "C" COM PROBLEMA, DESABILITANDO PARA SAQUES.             FALHA DE ALIMENTACAO DO CASSETE C (DISPENSADORA DE CEDULAS)N	20232219000016	7417163284045	EQPT-079049	Contratado	2219.91	SAA-JOAO ALFREDO	TR-LIMOEIRO	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	01/03/2023 08:59:27		14		00119/2021	01/03/2023 09:30:00	REC	PE	
9523592	Manutenção Corretiva	Defeito: mascaramento sensores e disparo alarme partição 1  zona 13 e 30.		5749000206001	GRPE-900022	Contratado	5749.00	RIO SAO FRANCISCO	TR-PETROLINA	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	01/03/2023 08:54:34		S1		00206/2019	07/03/2023 11:00:00	REC	BA	
9523590	Manutenção Corretiva	MASCARAMENTO SENSOR   28/02/2023 17:00:00   1 - AGÊNCIA   18 - WC MASCULINO 1 ANDAR		4118000206001	GRPE-900022	Contratado	4118.00	CAVALEIRO	CAT-RECIFE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	01/03/2023 08:54:23		S1		00206/2019	01/03/2023 17:54:23	REC	PE	
9523560	Manutenção Corretiva	480, 778, 783, 838, 841, 842, TAA INDISP P/SAQUE/MODULO INOPERANTE/CEDULAS PRESAS/70640/13/PROC/PRES/SOP MARIM DO / 41 996852011	20234804002067	7417183020640	EQPT-083401	Contratado	4923.05	SOP MARIM DOS CAETES	CAT-RECIFE	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	01/03/2023 08:16:25		13	4804	00119/2021	01/03/2023 09:30:00	REC	PE	
9522827	Instalação	#PVV- INSTALAÇÃO- INSTALAR E ATIVAR CENTRAL E TELEFONES. P/ ATIVAÇÃO CONTATAR SUPORTE CEREM. PREENCHER ERAC E TERMO DE ACEITE AO CONCLUIR		1902016280200	GRPE-900025	Contratado	2802.00	CASA AMARELA	CAT-RECIFE	T-99 CENTRAIS DE TELEFONIA BBTS OUTSOURCINCG DE TELEFONIA		COBRA TECNOLOGIA SA	42318949	Aberto	28/02/2023 18:40:20		1		00190/2016	01/03/2023 18:40:21	REC	PE	
9522703	Manutenção Corretiva	448, 480, 778, 794, 838, 841, 01/03-11H30-ERRO DE HARDWARE-TERCEIRIZADO 28/02 / (11) 941460830	20234804002055	7417183020662	EQPT-083401	Contratado	2039.91	SAA-MACHADOS	TR-GOIANA	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 17:50:20		13	4804	00119/2021	01/03/2023 09:30:00	REC	PE	
